Reference code,Latitude,Longitude,"Date ""Before Present""",Standard error,Chronocultural attribution,Associated materials,Country,Site name,Associated publications,Clear LSA,Associated Lithics
OBDY-1488,3.7917,10.0194,420,50,Recent Iron Age,", Coal",Cameroon,Ossa Safa Cam,"1998 - Lake Ossa: A new Iron Age site in the Cameroonian littoral province - Nyame Akuma, 49:16-26.",NA,NA
Ly-4782,6.1333,15.3333,430,70,Recent Iron Age,", Coal",CAR,"T. Balimbé 9, Site 32","1991 - Etude du megalithisme dans le Nord-Ouest de la république centrafricaine. - Thèse de doctorat des Universités, Université de Paris X - Nanterre, 2 tomes.",NA,NA
OBDY-1446,3.7917,10.0194,440,60,Recent Iron Age,", Coal",Cameroon,Ossa Big Island,"1998 - Lake Ossa: A new Iron Age site in the Cameroonian littoral province - Nyame Akuma, 49:16-26.",NA,NA
OBDY-354,6.1333,15.3333,450,80,Recent Iron Age,", Coal",CAR,"B-Kpogbèrè, Site 57","1999 - Société préhistoriques et mégalithes dans le nord-ouest de la République Centrafricaine - British Archaeological Reports 768, Cambridge Monographs in African Archaeology 46. Archeopress, Oxford.",NA,NA
OBDY-1573,6.1333,15.3333,480,40,Recent Iron Age,", Coal",CAR,"Ndio, Site 72","2000 - Les occupations néolithiques dans le Nord-Ouest de la République centrafricaine - Ed. Monique Mergoil, Montagnac.",NA,NA
OBDY-1487,3.7917,10.0194,510,50,Recent Iron Age,", Coal",Cameroon,Ossa Safa Cam,"1998 - Lake Ossa: A new Iron Age site in the Cameroonian littoral province - Nyame Akuma, 49:16-26.",NA,NA
P-1747,9.18,13.42,528,36,Recent Iron Age,", Coal",Cameroon,Be,"1981 - The archaeological background of Cameroonian history - in: Tardit C. (ed.), Contribution de la recherche ethnologique à l'histoire des civilisations du Cameroun, Colloque du CNRS, 79-98",NA,NA
Hv-12856,6.6833,10.9667,535,120,Recent Iron Age,", Coal",Cameroon,Lus,"1992 - Sédentarisation, agriculture et métallurgie du Sud-Cameroun: synthèse des recherches depuis 1978 - In: Essomba J.-M. Ed. ''L'archéologie au Cameroun : Actes du premier colloque international de Yaoundé (6-9 janvier 1986)'' Karthala, p. 247-162.",NA,NA
Beta-156377,2.8967,9.92,550,70,Recent Iron Age,", Coal",Cameroon,Bwambé Beach,"2001 -  The history of human settlement in the middle Ogooué valley (Gabon): implications for the environment.  African Rain Forest Ecology and Conservation - New York, Weber, White, Vedder & Naugthon-Treves (Eds). Yale University Press, 101-118.",NA,NA
Pa-1445,6.1333,15.3333,555,40,Recent Iron Age,", Coal",CAR,"Ndio, Site 76","2000 - Les occupations néolithiques dans le Nord-Ouest de la République centrafricaine - Ed. Monique Mergoil, Montagnac.",NA,NA
OBDY-598,6.1333,15.3333,570,130,Recent Iron Age,", Coal",CAR,Bouboun,"1999 - Société préhistoriques et mégalithes dans le nord-ouest de la République Centrafricaine - British Archaeological Reports 768, Cambridge Monographs in African Archaeology 46. Archeopress, Oxford.",NA,NA
OBDY-1444,3.7917,10.0194,580,40,Recent Iron Age,", Coal",Cameroon,Ossa Big Island,"1998 - Lake Ossa: A new Iron Age site in the Cameroonian littoral province - Nyame Akuma, 49:16-26.",NA,NA
Gif-4614,-4.25,13.7667,670,200,Recent Iron Age,", Coal",Congo,Ntadi Yomba,"1985 - Recent Archaeological Research and Dates from Central Africa - The Journal of African History, 26: 129-148.",NA,NA
OBDY-1443,3.7917,10.0194,700,50,Recent Iron Age,", Coal",Cameroon,Ossa Big Island,"1998 - Lake Ossa: A new Iron Age site in the Cameroonian littoral province - Nyame Akuma, 49:16-26.",NA,NA
OBDY-314,6.1333,15.3333,700,80,Recent Iron Age,", Coal",CAR,Nana Modé,"1991 - Etude du megalithisme dans le Nord-Ouest de la république centrafricaine. - Thèse de doctorat des Universités, Université de Paris X - Nanterre, 2 tomes.",NA,NA
P-1638,9.21,13.31,704,42,Recent Iron Age,", Coal",Cameroon,Sumpa,"1981 - The archaeological background of Cameroonian history - in: Tardit C. (ed.), Contribution de la recherche ethnologique à l'histoire des civilisations du Cameroun, Colloque du CNRS, 79-98",NA,NA
OBDY-593,6.1333,15.3333,770,170,Recent Iron Age,", Coal",CAR,"Mibili 1, Site 55","1999 - Société préhistoriques et mégalithes dans le nord-ouest de la République Centrafricaine - British Archaeological Reports 768, Cambridge Monographs in African Archaeology 46. Archeopress, Oxford.",NA,NA
OBDY-521,6.1333,15.3333,780,160,Recent Iron Age,", Coal",CAR,Balimbé 48,"2000 - Les occupations néolithiques dans le Nord-Ouest de la République centrafricaine - Ed. Monique Mergoil, Montagnac.",NA,NA
P-1746,9.18,13.42,832,49,Recent Iron Age,", Coal",Cameroon,Be,"1981 - The archaeological background of Cameroonian history - in: Tardit C. (ed.), Contribution de la recherche ethnologique à l'histoire des civilisations du Cameroun, Colloque du CNRS, 79-98",NA,NA
Hv-13432,0.45,9.4653,850,60,Recent Iron Age,", Coal",Gabon,Charbonnages Butte 56 ( Bolokoboué ),"1995 - Gabon : 100 000 ans d'Histoire - Centre Culturel Français Saint-Exupery, éd. Sépia.",NA,NA
P-1753,9.18,13.42,1014,48,Recent Iron Age,", Coal",Cameroon,Be,"1981 - The archaeological background of Cameroonian history - in: Tardit C. (ed.), Contribution de la recherche ethnologique à l'histoire des civilisations du Cameroun, Colloque du CNRS, 79-98",NA,NA
Beta-169186,2.3972,10.0528,1070,60,Recent Iron Age,", Coal",Cameroon,Akok Begnat 2,"2001 - Surveillance archéologique de l’axe routier Lolodorf-Kribi-Campo - Rapport final du volet de protection du patrimoine culturel, Coopération Cameroun-Union Européenne",NA,NA
P-1763,9.1,13.4,1074,47,Recent Iron Age,", Coal",Cameroon,Douloumi,"1981 - The archaeological background of Cameroonian history - in: Tardit C. (ed.), Contribution de la recherche ethnologique à l'histoire des civilisations du Cameroun, Colloque du CNRS, 79-98",NA,NA
P-1761,9.1,13.4,1089,41,Recent Iron Age,", Coal",Cameroon,Douloumi,"1981 - The archaeological background of Cameroonian history - in: Tardit C. (ed.), Contribution de la recherche ethnologique à l'histoire des civilisations du Cameroun, Colloque du CNRS, 79-98",NA,NA
P-1684,9.18,13.42,1106,33,Recent Iron Age,", Coal",Cameroon,Be,"1981 - The archaeological background of Cameroonian history - in: Tardit C. (ed.), Contribution de la recherche ethnologique à l'histoire des civilisations du Cameroun, Colloque du CNRS, 79-98",NA,NA
KIA-33077,2.3775,9.8311,1184,22,Ancient Iron Age,", Coal",Cameroon,Campo,"2008 - On the Early Iron Age in Southern Cameroon: the sites of Akonetye - Journal of African Archaeology, 6 (2): 183-202.",NA,NA
Gif-5567,6.35,15.98,1200,60,Ancient Iron Age,", Coal",CAR,Toala,"1983 - Le site archéologique de l'île de Toala sur le haut Ouham (République centrafricaine) Néolithique et âge du fer - L'Anthropologie, 407, 1: 113-133.",NA,NA
Gif-5667,6.35,15.98,1200,60,Ancient Iron Age,", Coal",CAR,Toala,"2008 - La métallurgie du fer en Centrafrique : premiers éléments de synthèse - Revue Centrafricaine d'Anthropologie, 1",NA,NA
OBDY-347,6.1333,15.3333,1210,110,Ancient Iron Age,", Coal",CAR,"Bézongo, Site 50","1993 - La question des datations des mégalithes de Centrafrique : nouvelles perspectives - In: Barreteau D., Von Graffenried C., eds, ORSTOM, Paris, 51-75.",NA,NA
Si-2538,5.9,15.6,1270,60,Ancient Iron Age,", Coal",CAR,Bouar,"1977 - The Nana-Modé village site (sous-prefecture de Bouar, Central African Republic) and the prehistory of the Ubanguian speking peoples - West African Journal of Archaeology, VII: 17-56.",NA,NA
Beta-165709,2.8967,9.92,1280,50,Ancient Iron Age,", Coal",Cameroon,Bwambé Beach,"2001 -  The history of human settlement in the middle Ogooué valley (Gabon): implications for the environment.  African Rain Forest Ecology and Conservation - New York, Weber, White, Vedder & Naugthon-Treves (Eds). Yale University Press, 101-118.",NA,NA
Si-2539,5.9,15.6,1288,60,Ancient Iron Age,", Coal",CAR,Bouar,"1977 - The Nana-Modé village site (sous-prefecture de Bouar, Central African Republic) and the prehistory of the Ubanguian speking peoples - West African Journal of Archaeology, VII: 17-56.",NA,NA
Beta-165711,2.8967,9.92,1360,60,Ancient Iron Age,", Coal",Cameroon,Bwambé Beach,"2001 -  The history of human settlement in the middle Ogooué valley (Gabon): implications for the environment.  African Rain Forest Ecology and Conservation - New York, Weber, White, Vedder & Naugthon-Treves (Eds). Yale University Press, 101-118.",NA,NA
P-1764,9.1,13.4,1412,50,Ancient Iron Age,", Coal",Cameroon,Douloumi,"1981 - The archaeological background of Cameroonian history - in: Tardit C. (ed.), Contribution de la recherche ethnologique à l'histoire des civilisations du Cameroun, Colloque du CNRS, 79-98",NA,NA
OBDY-520,6.1333,15.3333,1420,110,Ancient Iron Age,", Coal",CAR,Bouboun,"1999 - Société préhistoriques et mégalithes dans le nord-ouest de la République Centrafricaine - British Archaeological Reports 768, Cambridge Monographs in African Archaeology 46. Archeopress, Oxford.",NA,NA
Beta-165710,2.8967,9.92,1480,60,Ancient Iron Age,", Coal",Cameroon,Bwambé Beach,"2001 -  The history of human settlement in the middle Ogooué valley (Gabon): implications for the environment.  African Rain Forest Ecology and Conservation - New York, Weber, White, Vedder & Naugthon-Treves (Eds). Yale University Press, 101-118.",NA,NA
Gif-5669,6.35,15.98,1560,70,Ancient Iron Age,", Coal",CAR,Toala,"2008 - La métallurgie du fer en Centrafrique : premiers éléments de synthèse - Revue Centrafricaine d'Anthropologie, 1",NA,NA
OBDY-1153,6.1333,15.3333,1610,40,Ancient Iron Age,", Coal",CAR,"T-Kpobèrè 3, Site 31","2000 - Les occupations néolithiques dans le Nord-Ouest de la République centrafricaine - Ed. Monique Mergoil, Montagnac.",NA,NA
OBDY-1439,6.1333,15.3333,1610,40,Ancient Iron Age,", Coal",CAR,"Bébinté, Site 19","1999 - Société préhistoriques et mégalithes dans le nord-ouest de la République Centrafricaine - British Archaeological Reports 768, Cambridge Monographs in African Archaeology 46. Archeopress, Oxford.",NA,NA
Pa-1946,6.1333,15.3333,1615,40,Ancient Iron Age,", Coal",CAR,Ôboui,"2007 - Les Ateliers d'Ôboui. Premières communautés métallurgistes dans le nord-ouest du Centrafrique - Ed. Recherche sur les Civilisations, Paris.",NA,NA
Beta-146654,3.0581,10.1811,1670,70,Ancient Iron Age,", Coal",Cameroon,Bandewouri,"2000 - Les premiers résultats de la recherche archéologique dans le sanctuaire de Banyang Mbo (Sud-Ouest du Cameroun) - L'Anthropologie,104: 341-354.",NA,NA
OBDY-1544,6.1333,15.3333,1670,50,Ancient Iron Age,", Coal",CAR,"Balimbé 14, Site 89","1999 - Société préhistoriques et mégalithes dans le nord-ouest de la République Centrafricaine - British Archaeological Reports 768, Cambridge Monographs in African Archaeology 46. Archeopress, Oxford.",NA,NA
Beta-9077,-1.7083,13.3472,1680,100,Ancient Iron Age,", Coal",Gabon,Mboma,"1986 - Métallurgie ancienne du fer au Gabon : Premiers élémnts de synthèse - Muntu, 4-5, 47-55.",NA,NA
Ly-10383,6.1333,15.3333,1685,35,Ancient Iron Age,", Coal",CAR,Ôboui,"2007 - Les Ateliers d'Ôboui. Premières communautés métallurgistes dans le nord-ouest du Centrafrique - Ed. Recherche sur les Civilisations, Paris.",NA,NA
OBDY-1113,6.1333,15.3333,1690,40,Ancient Iron Age,", Coal",CAR,Gbabiri 1 - 77,"1999 - Société préhistoriques et mégalithes dans le nord-ouest de la République Centrafricaine - British Archaeological Reports 768, Cambridge Monographs in African Archaeology 46. Archeopress, Oxford.",NA,NA
OBDY-1441,6.1333,15.3333,1690,40,Ancient Iron Age,", Coal",CAR,"Daré 1, Site 79","1999 - Société préhistoriques et mégalithes dans le nord-ouest de la République Centrafricaine - British Archaeological Reports 768, Cambridge Monographs in African Archaeology 46. Archeopress, Oxford.",NA,NA
Hv-12855,3.85,11.5333,1715,130,Ancient Iron Age,", Coal",Cameroon,Nimboman,"1992 - A propos des céramiques de Mimboman et d'Okolo - In: Essomba J.-M. Ed. L'archéologie au Cameroun : Actes du premier colloque international de Yaoundé (6-9 janvier 1986), Karthala, p 215-227.",NA,NA
KIA-33071,2.3775,9.8311,1742,26,Ancient Iron Age,", Coal",Cameroon,Campo,"2008 - On the Early Iron Age in Southern Cameroon: the sites of Akonetye - Journal of African Archaeology, 6 (2): 183-202.",NA,NA
Beta-146657,2.8967,9.9058,1760,70,Ancient Iron Age,", Coal",Cameroon,Bwambé,"2000 - Les premiers résultats de la recherche archéologique dans le sanctuaire de Banyang Mbo (Sud-Ouest du Cameroun) - L'Anthropologie,104: 341-354.",NA,NA
OBDY-601,6.1333,15.3333,1760,180,Ancient Iron Age,", Coal",CAR,"Mbili 2, Site 64","2000 - Les occupations néolithiques dans le Nord-Ouest de la République centrafricaine - Ed. Monique Mergoil, Montagnac.",NA,NA
KIA-31782,2.4678,11.1678,1769,24,Ancient Iron Age,", Coal",Cameroon,Akonétye,"2008 - On the Early Iron Age in Southern Cameroon: the sites of Akonetye - Journal of African Archaeology, 6 (2): 183-202.",NA,NA
KIA-31778,2.4678,11.1678,1779,20,Ancient Iron Age,", Coal",Cameroon,Akonétye,"2008 - On the Early Iron Age in Southern Cameroon: the sites of Akonetye - Journal of African Archaeology, 6 (2): 183-202.",NA,NA
OBDY-1511,6.1333,15.3333,1780,80,Ancient Iron Age,", Coal",CAR,Balimbé,"1999 - Société préhistoriques et mégalithes dans le nord-ouest de la République Centrafricaine - British Archaeological Reports 768, Cambridge Monographs in African Archaeology 46. Archeopress, Oxford.",NA,NA
Gif-11341,0.3222,9.3478,1785,50,Neolithic,", Coal",Gabon,Rivière Denis 1,"2005 - Des premiers villages aux premiers européens autour de l'estuaire du Gabon. Quatre millénaire d'interactions entre l'homme et son milieu. - Thèse de Doctorat, Université Libre de Bruxelles.",NA,NA
KIA-31781,2.4678,11.1678,1787,17,Ancient Iron Age,", Coal",Cameroon,Akonétye,"2008 - On the Early Iron Age in Southern Cameroon: the sites of Akonetye - Journal of African Archaeology, 6 (2): 183-202.",NA,NA
Pa-1947,6.1333,15.3333,1805,40,Ancient Iron Age,", Coal",CAR,Ôboui,"2007 - Les Ateliers d'Ôboui. Premières communautés métallurgistes dans le nord-ouest du Centrafrique - Ed. Recherche sur les Civilisations, Paris.",NA,NA
OBDY-1112,6.1333,15.3333,1840,60,Ancient Iron Age,", Coal",CAR,Gbabiri 1 - 77,"1999 - Société préhistoriques et mégalithes dans le nord-ouest de la République Centrafricaine - British Archaeological Reports 768, Cambridge Monographs in African Archaeology 46. Archeopress, Oxford.",NA,NA
KIA-33078,2.3775,9.8311,1847,22,Ancient Iron Age,", Coal",Cameroon,Campo,"2008 - On the Early Iron Age in Southern Cameroon: the sites of Akonetye - Journal of African Archaeology, 6 (2): 183-202.",NA,NA
OBDY-1594,6.1333,15.3333,1850,40,Ancient Iron Age,", Coal",CAR,"Ndio, Site 94","2000 - Les occupations néolithiques dans le Nord-Ouest de la République centrafricaine - Ed. Monique Mergoil, Montagnac.",NA,NA
OBDY-1618,6.1333,15.3333,1850,40,Ancient Iron Age,", Coal",CAR,"Ndio, Site 94","2000 - Les occupations néolithiques dans le Nord-Ouest de la République centrafricaine - Ed. Monique Mergoil, Montagnac.",NA,NA
OBDY-1105,6.1333,15.3333,1870,40,Ancient Iron Age,", Coal",CAR,"T-Kpobèrè 1, Site 31","2000 - Les occupations néolithiques dans le Nord-Ouest de la République centrafricaine - Ed. Monique Mergoil, Montagnac.",NA,NA
Ly-9007,6.1333,15.3333,1880,40,Ancient Iron Age,", Coal",CAR,Ôboui,"1996 - Etude du mégalithisme en République centrafricaine: nouvelles découvertes de monuments à chambre dans le secteur de Ndio - Cahiers Orstom sciences humaines, 32, 2: 361-377.",NA,NA
Gif-2948,-4.75,11.85,1890,90,Ancient Iron Age,", Coal",Congo,Pointe Noire,"1982 - New Survey of Archaeological Research and Dates for West-Central and North-Central Africa - The Journal of African History, 23: 1-15.",NA,NA
Beta-182541,3.0631,10.2189,1910,60,Ancient Iron Age,", Coal",Cameroon,Ndtoua (Eca 068),"2005 - Komé to Ebomé; archaeological research for the Chad Export Project, 1999-2003 - Journal of African Archaeology, 3(2): 175-193.",NA,NA
Gif-1637,5.55,15.36,1920,100,Ancient Iron Age,", Coal",CAR,Tia,"1975 - Recherches préhistoriques en République Centrafricaine. - Paris, Société d'Ethnologie, Recherches Oubanguiennes 3.",NA,NA
Gif-11342,0.3222,9.3478,1920,45,Neolithic,", Coal",Gabon,Rivière Denis 2,"2005 - Des premiers villages aux premiers européens autour de l'estuaire du Gabon. Quatre millénaire d'interactions entre l'homme et son milieu. - Thèse de Doctorat, Université Libre de Bruxelles.",NA,NA
Beta-16319,-0.875,9.15,1930,110,Ancient Iron Age,", Coal",Gabon,Mbilapé 4,"1995 - Gabon : 100 000 ans d'Histoire - Centre Culturel Français Saint-Exupery, éd. Sépia.",NA,NA
OBDY-1529,6.1333,15.3333,1930,40,Ancient Iron Age,", Coal",CAR,Gbabiri 1 - 77,"1999 - Société préhistoriques et mégalithes dans le nord-ouest de la République Centrafricaine - British Archaeological Reports 768, Cambridge Monographs in African Archaeology 46. Archeopress, Oxford.",NA,NA
Ly-4979,3.9044,11.5003,1945,250,Ancient Iron Age,", Coal",Cameroon,Oliga,"1998 - Larchéologie de l'Âge du Fer au Cameroun Méridional - in: Delneuf M., Essomba J.-M., Froment A. (ed.), Paléo-anthropologie en Afrique centrale. Un bilan de l'archéologie au Cameroun, L'Harmattan, Paris, 233-247.",NA,NA
Pa-2089,6.1333,15.3333,1960,30,Ancient Iron Age,", Coal",CAR,Ôboui,"2007 - Les Ateliers d'Ôboui. Premières communautés métallurgistes dans le nord-ouest du Centrafrique - Ed. Recherche sur les Civilisations, Paris.",NA,NA
Pa-2090,6.1333,15.3333,2025,30,Ancient Iron Age,", Coal",CAR,Ôboui,"2007 - Les Ateliers d'Ôboui. Premières communautés métallurgistes dans le nord-ouest du Centrafrique - Ed. Recherche sur les Civilisations, Paris.",NA,NA
Beta-146656,2.8967,9.9058,2030,80,Ancient Iron Age,", Coal",Cameroon,Bwambé,"2001 - Surveillance archéologique de l'axe routier Lolodorf-Kribi-Campo. Rapport final. Coopération Cameroun–Union Européenne. Yaoundé, Cameroon: Ministère des Travaux Publics",NA,NA
Gif-8599,6.1333,15.3333,2030,40,Ancient Iron Age,", Coal",CAR,"T. Balimbé 8, Site 32","1996 - Etude du mégalithisme en République centrafricaine: nouvelles découvertes de monuments à chambre dans le secteur de Ndio - Cahiers Orstom sciences humaines, 32, 2: 361-377.",NA,NA
Hv-6258,-5.3,14.9167,2040,65,Neolithic,", Coal",DRC,Ngovo,"1986 - The Ngovo group: an industry with polished stone tools and pottery in lower Zaïre - The African Archaeological Review, 4: 103-133.",NA,NA
OBDY-1129,6.1333,15.3333,2045,40,Ancient Iron Age,", Coal",CAR,"T-Kpobèrè 2, Site 31","2000 - Les occupations néolithiques dans le Nord-Ouest de la République centrafricaine - Ed. Monique Mergoil, Montagnac.",NA,NA
Pa-1447,6.1333,15.3333,2050,40,Ancient Iron Age,", Coal",CAR,"Gbabiri 1, Site 77","1999 - Société préhistoriques et mégalithes dans le nord-ouest de la République Centrafricaine - British Archaeological Reports 768, Cambridge Monographs in African Archaeology 46. Archeopress, Oxford.",NA,NA
Gif-8741,-0.1056,11.1472,2130,60,Ancient Iron Age,", Coal",Gabon,Epona 2,"1993 - Préhistoire de la moyenne vallée de l'Ogooué (Gabon) - TDM, 96, Paris éd. De l'ORSTOM.",NA,NA
Beta-12207,-1.916,11.016,2150,90,Ancient Iron Age,", Coal",Gabon,Lac Bleu De Mouila,"1986 - Métallurgie ancienne du fer au Gabon : Premiers élémnts de synthèse - Muntu, 4-5, 47-55.",NA,NA
Pa-2085,6.1333,15.3333,2150,30,Ancient Iron Age,", Coal",CAR,Ôboui,"2007 - Les Ateliers d'Ôboui. Premières communautés métallurgistes dans le nord-ouest du Centrafrique - Ed. Recherche sur les Civilisations, Paris.",NA,NA
Hv-5258,-5.3,14.9167,2150,45,Neolithic,", Coal",DRC,Ngovo,"1986 - The Ngovo group: an industry with polished stone tools and pottery in lower Zaïre - The African Archaeological Review, 4: 103-133.",NA,NA
Pa-2087,6.1333,15.3333,2155,30,Ancient Iron Age,", Coal",CAR,Ôboui,"2007 - Les Ateliers d'Ôboui. Premières communautés métallurgistes dans le nord-ouest du Centrafrique - Ed. Recherche sur les Civilisations, Paris.",NA,NA
Pa-2086,6.1333,15.3333,2160,30,Ancient Iron Age,", Coal",CAR,Ôboui,"2007 - Les Ateliers d'Ôboui. Premières communautés métallurgistes dans le nord-ouest du Centrafrique - Ed. Recherche sur les Civilisations, Paris.",NA,NA
Pa-2088,6.1333,15.3333,2190,40,Ancient Iron Age,", Coal",CAR,Ôboui,"2007 - Les Ateliers d'Ôboui. Premières communautés métallurgistes dans le nord-ouest du Centrafrique - Ed. Recherche sur les Civilisations, Paris.",NA,NA
Gif-1888,5.58,15.33,2200,110,Ancient Iron Age,", Coal",CAR,Béyolé,"1975 - Recherches préhistoriques en République Centrafricaine. - Paris, Société d'Ethnologie, Recherches Oubanguiennes 3.",NA,NA
Beta-16943,-0.875,9.15,2290,90,Neolithic,", Coal",Gabon,Mbilapé 2,"2005 - Des premiers villages aux premiers européens autour de l'estuaire du Gabon. Quatre millénaire d'interactions entre l'homme et son milieu. - Thèse de Doctorat, Université Libre de Bruxelles.",NA,NA
Gif-7774,-0.2083,11.5944,2310,70,Ancient Iron Age,", Coal",Gabon,Lopé 10,"1993 - Préhistoire de la moyenne vallée de l'Ogooué (Gabon) - TDM, 96, Paris éd. De l'ORSTOM.",NA,NA
Gif-A99396,0.3222,9.3478,2330,60,Ancient Iron Age,", Coal",Gabon,Rivière Denis 2,"2005 - Des premiers villages aux premiers européens autour de l'estuaire du Gabon. Quatre millénaire d'interactions entre l'homme et son milieu. - Thèse de Doctorat, Université Libre de Bruxelles.",NA,NA
Beta-14427,-1.5556,13.1806,2350,140,Ancient Iron Age,", Coal",Gabon,Moanda 1,"1995 - Gabon : 100 000 ans d'Histoire - Centre Culturel Français Saint-Exupery, éd. Sépia.",NA,NA
